Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Rico Auto Industries,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +26 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Company Culture",577
Radical Minds,BPO | 5k-10k Employees | 14 years old | Gurgaon/Gurugram +8 more,2.9,,"Promotions / Appraisal, Job Security, Salary & Benefits",576
Pratap Technocrats,Telecom | 10k-50k Employees | 26 years old | Jaipur +104 more,4,Work Life Balance,Promotions / Appraisal,576
Rohan Builders,Real Estate | 1k-5k Employees | 31 years old | Pune +58 more,4.2,"Company Culture, Salary & Benefits, Job Security",,575
eTeam,Recruitment | 1k-5k Employees | 25 years old | South Plainfield +16 more,3.2,,"Promotions / Appraisal, Job Security, Work Satisfaction",574
Ugam Solution,IT Services & Consulting | 1k-5k Employees | 24 years old | Mumbai +12 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",573
Neeyamo Enterprise Solutions,1k-5k Employees | 15 years old | Chennai +10 more,3.6,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",573
Lumen Technologies,Hardware & Networking | 1k-5k Employees | Forbes Global 2000 | 94 years old | Monroe +14 more,4,"Work Life Balance, Job Security, Company Culture",,573
Engineers India,1k-5k Employees | Public | 59 years old | Delhi/NCR +60 more,4.3,"Work Life Balance, Skill Development / Learning, Company Culture",,573
Steag Energy Services,Power | 1k-5k Employees | 24 years old | Essen +38 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,573
McDermott International,Engineering & Construction | 1k-5k Employees | Public | 101 years old | Houston +28 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,573
Nippon Life India Asset Management,Financial Services | 1k-5k Employees | Public | 29 years old | Mumbai +156 more,4.6,"Work Life Balance, Company Culture, Job Security",,572
Crompton Greaves Consumer Electricals,Consumer Electronics & Appliances | 1k-5k Employees | Mumbai +79 more,3.8,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Company Culture",572
Electronica Finance,NBFC | 1k-5k Employees | Public | 34 years old | Pune +112 more,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,571
Government of India,Government | 1 Lakh+ Employees | Central | 74 years old | New Delhi +135 more,4.3,"Job Security, Work Life Balance, Work Satisfaction",,571
PUMA,Fashion & Textile | 1k-5k Employees | 76 years old | Herzogenaurach +84 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,571
Baxter International,Healthcare | 1k-5k Employees | Forbes Global 2000 | 93 years old | Deerfield +26 more,4,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security",571
Wipro Infrastructure Engineering,Industrial Machinery | 1k-5k Employees | 48 years old | Bangalore/Bengaluru +35 more,3.8,,"Promotions / Appraisal, Salary & Benefits",570
ALLEN Career Institute,Education & Training | 10k-50k Employees | 36 years old | Kota +55 more,4,"Job Security, Work Life Balance, Company Culture",,570
ICA Edu Skills,Education & Training | 1k-5k Employees | 25 years old | Kolkata +114 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Job Security",570
Lea Associates South Asia,Engineering & Construction | 51-200 Employees | 31 years old | Delhi/NCR +119 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,568
GlaxoSmithKline Consumer Healthcare,Pharma | 1k-5k Employees | Public | 24 years old | London +94 more,4.5,"Work Life Balance, Company Culture, Skill Development / Learning",,568
India Cements,Building Material | 1k-5k Employees | Public | 78 years old | Chennai +80 more,3.8,Job Security,Promotions / Appraisal,568
MagicBricks,Internet | 501-1k Employees | 18 years old | Noida +28 more,3.1,,"Promotions / Appraisal, Work Satisfaction, Job Security",567
Epsilon,Marketing & Advertising | 1k-5k Employees | 55 years old | Texas +16 more,4,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,566
Denave,Marketing & Advertising | 501-1k Employees | 25 years old | Noida +58 more,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",566
Denave,Marketing & Advertising | 501-1k Employees | 25 years old | Noida +58 more,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",566
Shyam Steel Industries,Metals & Mining | 1k-5k Employees | 71 years old | Kolkata +57 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Job Security",566
Progressive Infotech,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 26 years old | Noida +55 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Company Culture",565
Hitachi Systems Micro Clinic,IT Services & Consulting | 1k-5k Employees | 33 years old | Chiyoda City +73 more,3.9,,Promotions / Appraisal,565
Ramco Systems,Software Product | 1k-5k Employees | Public | 27 years old | Chennai +24 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",565
Magna International,Auto Components | 501-1k Employees | Public | 67 years old | Aurora +18 more,4,"Job Security, Skill Development / Learning",Promotions / Appraisal,565
Freshworks,Software Product | 1k-5k Employees | Public | 14 years old | San Mateo +39 more,3.7,Work Life Balance,Promotions / Appraisal,565
Advik Hi Tech,Auto Components | 1k-5k Employees | 24 years old | Pune +22 more,3.8,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",564
Ups Logistics,Logistics | 1k-5k Employees | Forbes Global 2000 | 117 years old | Atlanta +36 more,3.9,"Job Security, Salary & Benefits",Promotions / Appraisal,564
Finolex Cables,Electrical Equipment | 1k-5k Employees | Public | 68 years old | Pune +63 more,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",564
Integra Software Services,IT Services & Consulting | 1k-5k Employees | 30 years old | Pondicherry +9 more,3.9,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,564
QX Global Group,BPO | 1k-5k Employees | 21 years old | Skipton +16 more,3.4,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",563
Sharda Motor Industries,Auto Components | 1k-5k Employees | Public | 38 years old | Delhi/NCR +25 more,3.8,,Promotions / Appraisal,563
EMERSON PROCESS MANAGEMENT,Industrial Machinery | 1k-5k Employees | Public | 134 years old | St. Louis +28 more,4,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,563
Marsh McLennan,Management Consulting | 5k-10k Employees | Forbes Global 2000 | 153 years old | New York +19 more,4.1,"Job Security, Company Culture, Work Life Balance",,563
IFFCO,Agro Chemicals | 1k-5k Employees | 57 years old | Delhi/NCR +87 more,4.1,"Job Security, Work Life Balance, Salary & Benefits",,562
Henry Harvin Education,EdTech | 201-500 Employees | 9 years old | Noida +14 more,4.4,"Work Life Balance, Skill Development / Learning, Job Security",,562
McKinsey & Company,Management Consulting | 501-1k Employees | 98 years old | New York +23 more,4,"Company Culture, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,562
Maveric Systems,IT Services & Consulting | 1k-5k Employees | Public | 24 years old | Chennai +9 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",562
Biba Apparels,Fashion & Textile | 1k-5k Employees | 38 years old | Gurgaon +86 more,3.8,,Promotions / Appraisal,561
Skipper,Power | 1k-5k Employees | Public | 43 years old | Kolkata +66 more,3.8,,"Promotions / Appraisal, Job Security",561
Rodic Consultants,Engineering & Construction | 1k-5k Employees | 24 years old | Delhi/NCR +101 more,4.3,"Company Culture, Work Life Balance, Work Satisfaction",,561
SKH Metals,Auto Components | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +17 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,560
Ienergizer BPO Services,BPO | 10k-50k Employees | Noida +11 more,4.1,"Job Security, Company Culture, Salary & Benefits",,560
HIL,Building Material | 1k-5k Employees | Public | 78 years old | Hyderabad/Secunderabad +82 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,560
Tafe Motors & Tractors,Automobile | 1k-5k Employees | Bhopal +50 more,4,,"Promotions / Appraisal, Salary & Benefits",559
Vijay Sales,Consumer Electronics & Appliances | 1k-5k Employees | 57 years old | Mumbai +42 more,4.2,"Job Security, Salary & Benefits, Company Culture",,559
Ukb Electronics,Electronics Manufacturing | 501-1k Employees | 28 years old | Noida +18 more,4.2,"Skill Development / Learning, Promotions / Appraisal, Salary & Benefits",,559
SK Finance Limited,NBFC | 10k-50k Employees | Public | 30 years old | Jaipur +156 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,559
Greenlam Industries,Building Material | 1k-5k Employees | Public | 11 years old | Delhi/NCR +85 more,4.2,"Job Security, Company Culture, Work Life Balance",,558
Sunbeam Auto,Auto Components | 1k-5k Employees | 38 years old | Gurgaon/Gurugram +26 more,3.7,,"Promotions / Appraisal, Company Culture, Salary & Benefits",557
Fleetguard Filters,Auto Components | 1k-5k Employees | 37 years old | Pune +71 more,4.2,"Company Culture, Salary & Benefits, Job Security",,557
Hitachi,Industrial Machinery | 10k-50k Employees | Forbes Global 2000 | 114 years old | Tokyo +74 more,4,"Company Culture, Job Security, Work Life Balance",,557
Vaco Binary Semantics,IT Services & Consulting | 1k-5k Employees | 8 years old | Gurgaon/Gurugram +31 more,3.5,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",557
Petpooja,Software Product | 1k-5k Employees | 13 years old | Ahmedabad +52 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,557
Religare,Financial Services | 1k-5k Employees | Public | 40 years old | New Delhi +91 more,3.7,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",555
LifeCell International,Biotechnology | 1k-5k Employees | 20 years old | Chennai +69 more,3.4,,"Promotions / Appraisal, Job Security, Company Culture",555
Shaktiman Tirth Agro Technology,Industrial Machinery | 1k-5k Employees | 27 years old | Rajkot +42 more,4.2,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,555
Chennai Radha Engineering Works,Engineering & Construction | 5k-10k Employees | 19 years old | Chennai +41 more,4,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,555
Forever Living Products,Fitness & Wellness | 1k-5k Employees | 46 years old | Scottsdale +70 more,4.4,"Company Culture, Skill Development / Learning, Job Security",,554
CIEL HR,Recruitment | 1k-5k Employees | Startup | 9 years old | Bangalore +81 more,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,554
ICON Plc,Clinical Research | 1k-5k Employees | Public | 34 years old | Dublin +15 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,554
Micromax Informatics,Consumer Electronics & Appliances | 1k-5k Employees | 24 years old | Gurgaon/Gurugram +113 more,3.7,,"Promotions / Appraisal, Company Culture, Job Security",553
Thermo Fisher Scientific,Pharma | 1k-5k Employees | Forbes Global 2000 | 68 years old | Waltham +27 more,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,553
Cigniti Technologies,IT Services & Consulting | 1k-5k Employees | Public | 26 years old | Irving +6 more,3.8,,Promotions / Appraisal,553
Careernet,Recruitment | 1k-5k Employees | 25 years old | Bangalore +17 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",553
Microtek International,Consumer Electronics & Appliances | 201-500 Employees | 44 years old | Delhi/NCR +87 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture",552
Innodata India Private Limited,IT Services & Consulting | 1k-5k Employees | 27 years old | New Jersey +10 more,3.2,,"Promotions / Appraisal, Job Security, Work Satisfaction",552
Flash Electronics,Electronics Manufacturing | 1k-5k Employees | 35 years old | Pune +18 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",552
Isuzu Motors,Automobile | 1k-5k Employees | Forbes Global 2000 | 12 years old | Tokyo +29 more,4,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",551
KaaShiv InfoTech Company,IT Services & Consulting | 51-200 Employees | Chennai +4 more,4.9,"Work Satisfaction, Work Life Balance, Skill Development / Learning",,551
ACTE,Education & Training | 1-10 Employees | 13 years old | Chennai +10 more,4.7,"Work Satisfaction, Job Security, Company Culture",,551
Dhani Services,201-500 Employees | 7 years old | Mumbai +75 more,3.5,,"Job Security, Promotions / Appraisal, Company Culture",551
Orient Electric,Consumer Electronics & Appliances | 501-1k Employees | Public | 70 years old | Delhi/NCR +56 more,3.9,,Promotions / Appraisal,551
Sun Life Financial,Financial Services | 1k-5k Employees | Forbes Global 2000 | 159 years old | Toronto +9 more,4.3,"Job Security, Company Culture, Work Life Balance",,551
Hitachi Energy,Power | 1k-5k Employees | Fortune India 500 | 5 years old | Zurich +28 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,550
TDK India,Semiconductors | 1k-5k Employees | Forbes Global 2000 | Nashik +23 more,3.9,"Job Security, Skill Development / Learning",,549
HSBC Bank,Banking | 10k-50k Employees | Fortune India 500 | Hyderabad / Secunderabad +31 more,4,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,549
Jaro Education,EdTech | 1k-5k Employees | 15 years old | Mumbai +19 more,2.5,,"Work Life Balance, Work Satisfaction, Job Security",549
Teamware Solutions,Recruitment | 1k-5k Employees | 21 years old | Chennai +18 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,549
Redington,Hardware & Networking | 1k-5k Employees | Public | 25 years old | Dubai +44 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,548
Transsion,Consumer Electronics & Appliances | 501-1k Employees | Public | 18 years old | Shenzhen +57 more,4.2,"Job Security, Company Culture, Work Life Balance",,548
Medicover Hospitals,Healthcare | 10k-50k Employees | 13 years old | Hyderabad +31 more,3.9,,Promotions / Appraisal,548
Central Industrial Security Force,Law Enforcement & Security | 1 Lakh+ Employees | 55 years old | Delhi/NCR +71 more,4.5,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,548
Integreon,Legal | 1k-5k Employees | 24 years old | Fargo +10 more,3.4,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",548
VA Tech Wabag,Waste Management | 501-1k Employees | Public | 100 years old | Chennai +42 more,4,"Job Security, Skill Development / Learning",Promotions / Appraisal,548
Zuventus Healthcare,Pharma | 1k-5k Employees | 22 years old | Mumbai +79 more,3.9,,Promotions / Appraisal,547
Linde India,Oil & Gas | 201-500 Employees | Public | 145 years old | Pullach +43 more,4.1,"Work Life Balance, Job Security, Company Culture",,547
Toyo Engineering,Engineering & Construction | 1k-5k Employees | 63 years old | Mumbai +34 more,3.9,Job Security,Promotions / Appraisal,547
Indo Autotech,Auto Components | 1k-5k Employees | 50 years old | Faridabad +25 more,3.8,,Job Security,547
